Tree_ID,Height_m,Mean_Height_m,Crown_Area_m2,Crown_Volume_m3,AGB_kg
161,49.0,20.594202,1.341502822440533,27.627182,1.3813591
162,52.0,19.74,0.9721034945221254,19.189323,0.95946616
163,58.0,17.797813,0.8894746974877447,15.830706,0.7915353
164,48.0,20.857143,2.5517716731205793,53.222668,2.6611335
165,43.0,21.536497,1.3317817874953117,28.681913,1.4340957
166,53.0,18.154228,0.976964011994736,17.736029,0.8868014
167,57.0,18.555555,2.099743548167791,38.96191,1.9480956
168,59.0,21.063637,0.534656921987169,11.261819,0.563091
169,46.0,18.742575,1.4727367942010199,27.602879,1.380144
170,64.0,19.758389,0.7242171034189834,14.309363,0.71546817
171,52.0,20.116667,0.8748931450699128,17.599934,0.8799967
172,58.0,20.280487,1.992812163770357,40.415203,2.0207603
173,55.0,18.127586,1.4095500670570817,25.55174,1.277587
174,42.0,19.968283,2.605237365319296,52.02212,2.6011062
175,64.0,16.868612,0.6658908937476559,11.2326565,0.5616328
176,64.0,20.177778,0.6561698588024346,13.24005,0.6620025
177,74.0,19.015266,0.6367277889119921,12.10755,0.6053775
178,45.0,17.076246,1.6574364581602237,28.302794,1.4151397
179,59.0,19.466103,0.573541061768054,11.164609,0.55823046
180,65.0,19.403101,0.6270067539667709,12.165875,0.6082938
181,53.0,18.367647,0.9915455644125679,18.212358,0.91061795
182,43.0,20.756756,1.6185523183793387,33.595898,1.6797949
183,74.0,17.342466,0.7096355510011515,12.30683,0.61534154
184,76.0,20.741758,0.884614180015134,18.348454,0.9174227
185,60.0,20.770493,0.5929831316584965,12.316551,0.61582756
186,51.0,18.612795,1.4435736893653561,26.86894,1.3434471
187,46.0,20.516483,1.326921270022701,27.223759,1.3611879
188,69.0,21.072916,0.4666096773706202,9.832827,0.49164134
189,40.0,18.404938,1.968509576407304,36.230297,1.8115149
190,53.0,18.443525,1.7643678425576574,32.541164,1.6270583
191,42.0,18.398792,1.6088312834341174,29.600552,1.4800276
192,54.0,13.797323,2.542050638175358,35.073494,1.7536747
193,54.0,19.244186,0.8360090052890278,16.088314,0.8044157
194,58.0,20.477612,0.651309341329824,13.33726,0.666863
195,44.0,19.978102,1.3317817874953117,26.606474,1.3303237
196,41.0,20.773973,1.419271102002303,29.4839,1.474195
197,68.0,20.861538,0.31593363571969074,6.590862,0.32954308
198,42.0,21.527779,0.8748931450699128,18.834505,0.94172525
199,46.0,18.991837,1.1908267807896036,22.615988,1.1307994
200,46.0,17.185184,1.3123397176048692,22.552801,1.1276401
201,42.0,17.448484,1.6039707659615068,27.98686,1.399343
202,46.0,16.010527,1.846996639592038,29.571388,1.4785694
203,44.0,19.559525,0.8165669353985853,15.971661,0.79858303
204,39.0,17.426779,2.3233273519078796,40.48811,2.0244055
205,54.0,18.038961,0.7485196907820365,13.502518,0.6751259
206,76.0,16.742268,0.9429403896864617,15.786961,0.78934807
207,58.0,13.308642,2.7559134069702256,36.677467,1.8338734
208,63.0,18.123203,2.367072009161375,42.89893,2.1449466
209,54.0,19.37143,0.6804724461654877,13.181724,0.65908617
210,60.0,18.248062,0.6270067539667709,11.441658,0.57208294
211,47.0,17.811808,1.3172002350774799,23.461718,1.1730859
212,49.0,16.865385,1.0109876343030104,17.050695,0.8525348
213,45.0,19.758064,0.9040562499055765,17.862402,0.8931201
214,57.0,17.262774,0.6658908937476559,11.495124,0.5747562
215,40.0,18.327026,3.5967829297318636,65.91834,3.2959173
216,50.0,20.59854,0.6658908937476559,13.71638,0.68581903
217,41.0,17.459715,2.0511383734416846,35.812294,1.7906147
218,44.0,19.80339,1.4338526544201349,28.395144,1.4197572
219,46.0,16.817142,1.7011811154137193,28.609007,1.4304503
220,40.0,19.545816,1.2199898856252673,23.8457,1.192285
221,38.0,19.61991,2.148348722893897,42.15041,2.1075206
222,41.0,18.913334,0.729077620891594,13.7892885,0.68946445
223,47.0,18.066668,0.8748931450699128,15.806403,0.79032016
224,45.0,18.187756,1.1908267807896036,21.658466,1.0829233
225,74.0,15.144486,1.2783160952965948,19.359442,0.9679721
226,43.0,21.19825,1.667157493105445,35.340824,1.7670412
227,46.0,18.88,0.729077620891594,13.764986,0.6882493
228,103.0,17.127274,0.534656921987169,9.157215,0.45786077
229,37.0,20.775194,1.2540135079335417,26.052374,1.3026187
230,62.0,19.60135,0.7193565859463728,14.100362,0.7050181
231,47.0,17.365591,1.3560843748583649,23.549208,1.1774604
232,49.0,16.368763,2.240698554873499,36.677467,1.8338734
233,44.0,17.89,1.458155241783188,26.086397,1.3043199
234,41.0,19.62,1.458155241783188,28.609007,1.4304503
235,45.0,17.815315,1.0790348789195592,19.223347,0.96116734
236,64.0,18.766466,0.8117064179259746,15.232862,0.7616431
237,46.0,16.824324,1.4387131718927455,24.205378,1.2102689
238,45.0,20.428104,1.4873183466188518,30.383095,1.5191548
239,39.0,18.13497,1.5845286960710643,28.73538,1.436769
240,51.0,17.620178,1.6379943882697812,28.861753,1.4430877
241,46.0,16.841824,1.8129730172837637,30.533772,1.5266886
242,54.0,19.30097,0.5006332996788946,9.662709,0.48313546
243,54.0,18.138212,0.5978436491311071,10.843815,0.54219073
244,79.0,20.030304,0.4811912297884521,9.638407,0.48192033
245,66.0,19.905405,0.3596782929731864,7.1595426,0.35797712
246,63.0,19.491453,1.1373610885908867,22.168821,1.1084411
247,44.0,21.875,0.5832620967132752,12.758859,0.63794297
248,62.0,18.5,0.5054938171515052,9.351636,0.4675818
249,44.0,15.936759,1.2297109205704886,19.597607,0.97988033
250,51.0,17.656443,0.7922643480355321,13.988569,0.6994285
251,42.0,19.221674,0.9866850469399573,18.96574,0.948287
252,60.0,16.073334,1.458155241783188,23.437416,1.1718708
253,54.0,18.031532,1.0790348789195592,19.456652,0.9728326
254,63.0,18.795454,0.42772553758973514,8.039296,0.4019648
255,45.0,18.878431,1.2394319555157098,23.398531,1.1699265
256,36.0,21.670252,1.3560843748583649,29.38669,1.4693345
257,42.0,17.179724,1.054732291556506,18.12001,0.90600055
258,53.0,18.32624,0.6853329636380984,12.559577,0.62797886
259,50.0,18.52381,1.1227795361730548,20.798155,1.0399078
260,57.0,18.292929,0.4811912297884521,8.802398,0.4401199
261,45.0,20.914286,0.6804724461654877,14.231595,0.71157974
262,48.0,17.060509,1.5262024863997368,26.037792,1.3018897
263,66.0,19.726316,0.4617491598980095,9.10861,0.4554305
264,73.0,19.261906,0.40828346769929263,7.8643174,0.39321586
265,40.0,18.536945,0.9866850469399573,18.290127,0.9145064
266,98.0,17.586538,0.5054938171515052,8.889887,0.44449434
267,58.0,17.426414,1.288037130241816,22.44587,1.1222935
268,40.0,16.847656,2.488584945976641,41.926823,2.0963411
269,54.0,16.67114,0.7242171034189834,12.073525,0.60367626
270,37.0,19.9366,1.6865995629958874,33.62506,1.6812531
271,71.0,18.777779,0.39370191528146076,7.392847,0.36964235
272,44.0,16.609562,1.2199898856252673,20.263498,1.0131749
273,38.0,17.35145,1.341502822440533,23.27702,1.163851
274,46.0,17.832487,0.9575219421042935,17.074999,0.85374993
275,46.0,17.43421,1.108197983755223,19.320557,0.96602786
276,54.0,20.054348,0.44716760748017764,8.967655,0.44838277
277,39.0,18.705263,1.3852474796940286,25.911419,1.295571
278,45.0,21.564516,0.9040562499055765,19.495537,0.97477686
279,63.0,18.09649,0.5540989918776115,10.027247,0.5013624
280,38.0,18.619673,1.4824578291462411,27.602879,1.380144
281,55.0,16.066038,1.030429704193453,16.554922,0.8277461
282,43.0,17.94853,0.6610303762750452,11.864523,0.59322613
283,45.0,14.035617,1.7740888775028787,24.90043,1.2450216
284,52.0,16.461079,0.8117064179259746,13.361563,0.6680781
285,63.0,17.643312,0.7631012431998684,13.463634,0.6731817
286,39.0,18.09659,0.8554510751794703,15.480748,0.7740374
287,53.0,16.485943,1.210268850680046,19.952425,0.99762124
288,37.0,18.451777,0.9575219421042935,17.667982,0.8833991
289,39.0,18.893333,1.458155241783188,27.549414,1.3774707
290,43.0,13.275076,3.1982204969777923,42.45662,2.122831
291,47.0,17.902779,1.0498717740838954,18.795622,0.9397811
292,50.0,21.201183,0.8214274528711959,17.415234,0.8707617
293,45.0,18.596638,0.5784015792406646,10.756326,0.5378163
294,43.0,18.549587,1.1762452283717717,21.818863,1.0909432
295,40.0,16.813292,1.535923521344958,25.82393,1.2911966
296,57.0,17.313726,0.49577278220628396,8.583674,0.42918372
297,48.0,14.958621,1.4095500670570817,21.084925,1.0542463
298,37.0,16.0571,3.319733433793058,53.305298,2.6652648
299,38.0,14.940569,1.8810202619003127,28.103512,1.4051756
300,35.0,15.372514,2.687866162353677,41.31926,2.065963
301,53.0,15.891304,1.5650866261806218,24.87127,1.2435635
302,38.0,19.336601,1.4873183466188518,28.759682,1.4379841
303,38.0,13.7872925,3.5190146501700936,48.517685,2.4258842
304,43.0,17.898396,0.9089167673781872,16.268152,0.8134076
305,63.0,16.141975,1.574807661125843,25.420507,1.2710254
306,35.0,17.793003,1.667157493105445,29.663738,1.483187
307,38.0,15.406,2.4302587363053134,37.440567,1.8720284
308,45.0,19.284946,0.9040562499055765,17.434677,0.87173384
309,46.0,18.404495,0.8651721101246915,15.923056,0.7961528
310,37.0,18.93401,0.9575219421042935,18.12973,0.9064865
311,62.0,17.115646,0.7144960684737621,12.229062,0.6114531
312,48.0,19.442177,0.7144960684737621,13.891359,0.694568
313,74.0,17.393333,0.729077620891594,12.68109,0.63405454
314,42.0,14.509225,1.3172002350774799,19.111555,0.9555778
315,40.0,18.2,0.6561698588024346,11.942291,0.59711456
316,53.0,17.110714,1.3609448923309755,23.28674,1.164337
317,40.0,16.02711,1.613691800906728,25.862814,1.2931408
318,40.0,20.864,0.6075646840763284,12.6762295,0.6338115
319,59.0,18.53403,0.9283588372686297,17.206232,0.8603116
320,37.0,18.870192,1.0109876343030104,19.077532,0.9538766
321,66.0,18.718447,0.5006332996788946,9.371078,0.46855387
322,42.0,18.584337,0.806845900453364,14.994697,0.7497348
323,57.0,17.370832,1.1665241934265504,20.263498,1.0131749
324,37.0,18.480158,1.224850403097878,22.63543,1.1317714
325,35.0,16.841726,1.3512238573857542,22.756943,1.1378472
326,67.0,15.746032,0.612425201548939,9.643267,0.48216334
327,37.0,17.521101,2.648982022572792,46.413082,2.3206542
328,33.0,20.24,1.9442069890442508,39.35075,1.9675375
329,37.0,17.97635,1.4387131718927455,25.862814,1.2931408
330,58.0,17.80851,0.4568886424253989,8.136506,0.4068253
331,45.0,18.971563,2.0511383734416846,38.913303,1.9456652
332,38.0,18.240664,1.171384710899161,21.366835,1.0683417
333,37.0,13.5954485,3.844669320835006,52.270004,2.6135004
334,63.0,19.31507,0.35481777550057575,6.8533297,0.34266648
335,60.0,18.131428,0.8505905577068597,15.422422,0.77112114
336,42.0,19.017544,0.8311484878164171,15.806403,0.79032016
337,37.0,21.20946,0.7193565859463728,15.257165,0.7628583
338,34.0,16.158031,1.876159744427702,30.315048,1.5157524
339,51.0,18.52143,0.6804724461654877,12.603322,0.6301661
340,34.0,19.331522,0.8943352149603553,17.28886,0.864443
341,42.0,17.451853,0.6561698588024346,11.45138,0.572569
342,37.0,17.539856,1.341502822440533,23.529766,1.1764883
343,42.0,18.903315,1.7595073250850468,33.26052,1.6630261
344,46.0,18.244047,0.8165669353985853,14.897487,0.74487436
345,52.0,19.387754,0.47633071231584145,9.234983,0.46174917
346,41.0,16.79558,0.8797536625425234,14.775973,0.7387987
347,60.0,16.329412,0.8262879703438065,13.492797,0.6746399
348,51.0,17.61111,0.5249358870419477,9.244704,0.4622352
349,41.0,19.90625,0.9332193547412404,18.576899,0.9288449
